"AGE","TIME","UNIT","SEX","GEO","Value","Flag and Footnotes"
"Less than 5 years","2006W21","Number","Total","Belgium","9",""
"Less than 5 years","2006W22","Number","Total","Belgium","20",""
"Less than 5 years","2006W23","Number","Total","Belgium","14",""
"Less than 5 years","2006W24","Number","Total","Belgium","8",""
"Less than 5 years","2006W25","Number","Total","Belgium","9",""
"Less than 5 years","2006W26","Number","Total","Belgium","10",""
"Less than 5 years","2006W27","Number","Total","Belgium","15",""
"Less than 5 years","2006W28","Number","Total","Belgium","5",""
"Less than 5 years","2006W29","Number","Total","Belgium","11",""
"Less than 5 years","2006W30","Number","Total","Belgium","9",""
"Less than 5 years","2006W31","Number","Total","Belgium","21",""
"Less than 5 years","2006W32","Number","Total","Belgium","10",""
"Less than 5 years","2006W33","Number","Total","Belgium","9",""
"Less than 5 years","2006W34","Number","Total","Belgium","7",""
"Less than 5 years","2006W35","Number","Total","Belgium","14",""
"Less than 5 years","2006W36","Number","Total","Belgium","13",""
"Less than 5 years","2006W37","Number","Total","Belgium","9",""
"Less than 5 years","2006W38","Number","Total","Belgium","13",""
"Less than 5 years","2006W39","Number","Total","Belgium","18",""
"Less than 5 years","2006W40","Number","Total","Belgium","12",""
"Less than 5 years","2006W41","Number","Total","Belgium","10",""
"Less than 5 years","2006W42","Number","Total","Belgium","8",""
"Less than 5 years","2006W43","Number","Total","Belgium","9",""
"Less than 5 years","2006W44","Number","Total","Belgium","6",""
"Less than 5 years","2006W45","Number","Total","Belgium","10",""
"Less than 5 years","2006W46","Number","Total","Belgium","16",""
"Less than 5 years","2006W47","Number","Total","Belgium","11",""
"Less than 5 years","2006W48","Number","Total","Belgium","10",""
"Less than 5 years","2006W49","Number","Total","Belgium","10",""
"Less than 5 years","2006W50","Number","Total","Belgium","16",""
"Less than 5 years","2006W51","Number","Total","Belgium","21",""
"Less than 5 years","2006W52","Number","Total","Belgium","7",""
"Less than 5 years","2006W99","Number","Total","Belgium",":",""
"Less than 5 years","2007W01","Number","Total","Belgium","10",""
"Less than 5 years","2007W02","Number","Total","Belgium","7",""
"Less than 5 years","2007W03","Number","Total","Belgium","11",""
"Less than 5 years","2007W04","Number","Total","Belgium","10",""
"Less than 5 years","2007W05","Number","Total","Belgium","17",""
"Less than 5 years","2007W06","Number","Total","Belgium","14",""
"Less than 5 years","2007W07","Number","Total","Belgium","14",""
"Less than 5 years","2007W08","Number","Total","Belgium","9",""
"Less than 5 years","2007W09","Number","Total","Belgium","17",""
"Less than 5 years","2007W10","Number","Total","Belgium","9",""
"Less than 5 years","2007W11","Number","Total","Belgium","10",""
"Less than 5 years","2007W12","Number","Total","Belgium","10",""
"Less than 5 years","2007W13","Number","Total","Belgium","15",""
"Less than 5 years","2007W14","Number","Total","Belgium","17",""
"Less than 5 years","2007W15","Number","Total","Belgium","8",""
"Less than 5 years","2007W16","Number","Total","Belgium","15",""
"Less than 5 years","2007W17","Number","Total","Belgium","6",""
"Less than 5 years","2007W18","Number","Total","Belgium","16",""
"Less than 5 years","2007W19","Number","Total","Belgium","9",""
"Less than 5 years","2007W20","Number","Total","Belgium","9",""
